,body,brain,,,vars,vars,var^2,var^2,var diff,,0.902912948,0.14
N.A. opossum,1.7,6.3,,,-197.0899839,-276.8341935,38844.46174,76637.17072,54561.24674,,2,12.3
Tree hyrax,2,12.3,,,-196.7899839,-270.8341935,38726.29775,73351.1604,53297.45658,,2.5,12.1
Rabbit,2.5,12.1,,,-196.2899839,-271.0341935,38529.75777,73459.53407,53201.29748,,3,25
Echidna,3,25,,,-195.7899839,-258.1341935,38333.71778,66633.26188,50540.08959,,3.3,25.6
Cat,3.3,25.6,,,-195.4899839,-257.5341935,38216.33379,66323.86085,50345.35534,,3.385,44.5
Artic fox,3.385,44.5,,,-195.4049839,-238.6341935,38183.10772,56946.27833,46630.31074,,3.5,3.9
Water opossum,3.5,3.9,,,-195.2899839,-279.2341935,38138.1778,77971.73485,54531.64115,,3.5,10.8
Nine-banded armadillo,3.5,10.8,,,-195.2899839,-272.3341935,38138.1778,74165.91298,53184.14027,,3.6,21
Rock hyrax-b,3.6,21,,,-195.1899839,-262.1341935,38099.1298,68714.33543,51165.96901,,4.05,17
Yellow-bellied marmot,4.05,17,,,-194.7399839,-266.1341935,37923.66132,70827.40898,51826.96856,,4.19,58
Verbet,4.19,58,,,-194.5999839,-225.1341935,37869.15372,50685.4051,43811.11043,,4.235,50.4
Red fox,4.235,50.4,,,-194.5549839,-232.7341935,37851.64175,54165.20485,45279.59727,,4.288,39.2
Raccoon,4.288,39.2,,,-194.5019839,-243.9341935,37831.02173,59503.89078,47445.68458,,6.8,179
Rhesus monkey,6.8,179,,,-191.9899839,-104.1341935,36860.15391,10843.93027,19992.72214,,10,115
Potar monkey,10,115,,,-188.7899839,-168.1341935,35641.65801,28269.10704,31742.05169,,10.55,179.5
Baboon,10.55,179.5,,,-188.2399839,-103.6341935,35434.29153,10740.04607,19508.09892,,14.83,98.2
Roe deer,14.83,98.2,,,-183.9599839,-184.9341935,33841.27567,34200.65594,34020.49126,,27.66,115
Goat,27.66,115,,,-171.1299839,-168.1341935,29285.47138,28269.10704,28772.80183,,35,56
Kangaroo,35,56,,,-163.7899839,-227.1341935,26827.15882,51589.94188,37202.3059,,36.33,119.5
Grey wolf,36.33,119.5,,,-162.4599839,-163.6341935,26393.24636,26776.1493,26584.00844,,52.16,440
Chimpanzee,52.16,440,,,-146.6299839,156.8658065,21500.35217,24606.88123,-23001.23067,,55.5,175
Sheep,55.5,175,,,-143.2899839,-108.1341935,20532.01948,11693.00381,15494.54685,,60,81
Giant armadillo,60,81,,,-138.7899839,-202.1341935,19262.65962,40858.2322,28054.20146,,62,1320
Human,62,1320,,,-136.7899839,1036.865806,18711.49969,1075090.701,-141832.8569,,85,325
Grey seal,85,325,,,-113.7899839,41.86580645,12948.16043,1752.74575,-4763.909441,,100,157
Jaguar,100,157,,,-98.78998387,-126.1341935,9759.460913,15909.83478,12460.79495,,160,169
Brazilian tapir,160,169,,,-38.78998387,-114.1341935,1504.662849,13026.61414,4427.263527,,187.1,419
Donkey,187.1,419,,,-11.68998387,135.8658065,136.6557229,18459.51736,-1588.269086,,192,180
Pig,192,180,,,-6.789983871,-103.1341935,46.10388097,10636.66188,700.2795107,,207,406
Gorilla,207,406,,,8.210016129,122.8658065,67.40436484,15096.0064,1008.730253,,250,490
Okapi,250,490,,,51.21001613,206.8658065,2622.465752,42793.46188,10593.60128,,465,423
Cow,465,423,,,266.2100161,139.8658065,70867.77269,19562.44381,37233.67859,,521,655
Horse,521,655,,,322.2100161,371.8658065,103819.2945,138284.178,119818.8875,,529,680
Giraffe,529,680,,,330.2100161,396.8658065,109038.6548,157502.4683,131049.0643,,2547,4603
Asian elephant,2547,4603,,,2348.210016,4319.865806,5514090.28,18661240.59,10143952.16,,6654,5712
African elephant,6654,5712,,,6455.210016,5428.865806,41669736.35,29472583.94,35044468.93,,,
,198.7899839,283.1341935,,,,,795445.0452,851460.5409,47665274.3,,,
,,,,,,,891.877259,922.7461953,,,,
